00m: 0 Edges, 0 Instrs
01m: 284 Edges, 5195 Instrs
02m: 294 Edges, 5291 Instrs
03m: 294 Edges, 5291 Instrs
04m: 301 Edges, 5389 Instrs
05m: 301 Edges, 5389 Instrs
06m: 303 Edges, 5392 Instrs
07m: 303 Edges, 5392 Instrs
08m: 303 Edges, 5392 Instrs
09m: 303 Edges, 5392 Instrs
10m: 303 Edges, 5392 Instrs
11m: 303 Edges, 5392 Instrs
12m: 303 Edges, 5392 Instrs
13m: 305 Edges, 5397 Instrs
