[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Range graph generated
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Processed function snapshot
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Generating return summary for reCalculateBlockheaders
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Return summary generated for reCalculateBlockheaders
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | State variable assignement do not exist
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Processed function reCalculateBlockheaders
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Generating return summary for revealConvict
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Return summary generated for revealConvict
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Range graph generated
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Processed function revealConvict
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Generating return summary for updateNode
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Return summary generated for updateNode
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Range graph generated
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Processed function updateNode
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Generating return summary for registerNodeInternal
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Return summary generated for registerNodeInternal
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Range graph generated
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Processed function registerNodeInternal
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Generating return summary for unregisterNodeInternal
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Return summary generated for unregisterNodeInternal
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Range graph generated
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Processed function unregisterNodeInternal
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Generating return summary for transferOwnership
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Return summary generated for transferOwnership
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | State variable assignement do not exist
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Processed function transferOwnership
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Generating return summary for constructor
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Return summary generated for constructor
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Range graph generated
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Processed function constructor
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Generating return summary for recreateBlockheaders
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Return summary generated for recreateBlockheaders
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Range graph generated
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Processed function recreateBlockheaders
[INFO] | 2023-07-06 06:36:02 AM | analyzer.NodeRegistry_2 | Generating return summary for registerNode
