[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Processed function changeOwner
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Generating return summary for closeMint
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Return summary generated for closeMint
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Processed function closeMint
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Generating return summary for name
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Return summary generated for name
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Processed function name
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Generating return summary for symbol
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Return summary generated for symbol
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Processed function symbol
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Generating return summary for decimals
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Return summary generated for decimals
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Processed function decimals
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Generating return summary for totalSupply
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Return summary generated for totalSupply
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Processed function totalSupply
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Generating return summary for initialSupply
[INFO] | 2023-07-06 06:22:59 AM | analyzer.InteractiveCrowdsaleTestContract_1 | Return summary generated for initialSupply
