[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for getCancelTimestamp
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Processed function getCancelTimestamp
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for applyTradePositions
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for applyTradePositions
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Processed function applyTradePositions
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for ecrecoverPacked
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for ecrecoverPacked
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Processed function ecrecoverPacked
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for safeMul
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for safeMul
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Processed function safeMul
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for safeSub
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for safeSub
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Processed function safeSub
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for minu256
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for minu256
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Processed function minu256
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for max256
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for max256
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Processed function max256
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for min256
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for min256
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Processed function min256
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for lookupBalance
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for lookupBalance
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Processed function lookupBalance
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for adjustBalance
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for adjustBalance
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Processed function adjustBalance
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for unpackOrder
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for unpackOrder
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Processed function unpackOrder
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for unpackOrderForQuery
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for unpackOrderForQuery
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Processed function unpackOrderForQuery
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for priceDivide
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for priceDivide
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Processed function priceDivide
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Generating return summary for computePriceWeightedAmounts
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Return summary generated for computePriceWeightedAmounts
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:54:53 AM | analyzer.Degens_1 | Processed function computePriceWeightedAmounts
