[INFO] | 2023-07-06 06:51:06 AM | analyzer.Roles_12 | Analysis started at: 2023-07-06 06:51:06 AM
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Version constraints: ['^0.5.0']
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | solc version: v0.5.0
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Callgraph generation started!
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Callgraph generation finished!
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Interprocedural CFG generation started!
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Interprocedural CFG generation finished!
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Storage dependency graph generation started!
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Storage dependency graph generation finished!
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Value Range Analysis started
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Generating return summary for has
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Return summary generated for has
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | State variable assignement do not exist
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Processed function has
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Generating return summary for add
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Return summary generated for add
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | State variable assignement do not exist
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Processed function add
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Generating return summary for remove
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Return summary generated for remove
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | State variable assignement do not exist
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Processed function remove
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Value Range Analysis took 0.000814 seconds
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Value Range Analysis finished
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Storage dependency graph compostion started!
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Storage dependency graph compostion finished!
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Dependency detection started!
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Dependency detection finished!
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Static Analysis took 0.238413 seconds
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Dependency does not exist
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Symbolic execution is not needed!
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Analysis finished!
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Analysis took 0.238555 seconds
[INFO] | 2023-07-06 06:51:07 AM | analyzer.Roles_12 | Analysis finished at: 2023-07-06 06:51:07 AM
