[INFO] | 2023-07-06 05:50:12 AM | analyzer.BNum_2 | Analysis started at: 2023-07-06 05:50:12 AM
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Version constraints: ['0.5.12']
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | solc version: v0.5.12
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Callgraph generation started!
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Callgraph generation finished!
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Interprocedural CFG generation started!
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Interprocedural CFG generation finished!
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Storage dependency graph generation started!
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Storage dependency graph generation finished!
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Value Range Analysis started
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Range graph generated
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Range graph generated
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Generating return summary for getColor
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Return summary generated for getColor
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Processed function getColor
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Generating return summary for getColor
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Return summary generated for getColor
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Processed function getColor
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Generating return summary for getColor
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Return summary generated for getColor
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Processed function getColor
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Generating return summary for getColor
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Return summary generated for getColor
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Processed function getColor
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Generating return summary for getColor
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Return summary generated for getColor
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Processed function getColor
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Generating return summary for getColor
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | Return summary generated for getColor
[INFO] | 2023-07-06 05:50:13 AM | analyzer.BNum_2 | State variable assignement do not exist
