[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Generating return summary for min
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Return summary generated for min
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Processed function min
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Generating return summary for max
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Return summary generated for max
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Processed function max
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Generating return summary for isEqual
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Return summary generated for isEqual
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Processed function isEqual
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Generating return summary for isGreaterThan
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Return summary generated for isGreaterThan
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Processed function isGreaterThan
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Generating return summary for isGreaterThanOrEqual
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Return summary generated for isGreaterThanOrEqual
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Processed function isGreaterThanOrEqual
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Generating return summary for isLessThan
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Return summary generated for isLessThan
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Processed function isLessThan
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Generating return summary for isLessThanOrEqual
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Return summary generated for isLessThanOrEqual
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Processed function isLessThanOrEqual
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Generating return summary for fromUnscaledInt
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Return summary generated for fromUnscaledInt
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Processed function fromUnscaledInt
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Generating return summary for mul
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Return summary generated for mul
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Processed function mul
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Generating return summary for div
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Return summary generated for div
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Processed function div
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Generating return summary for sub
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Return summary generated for sub
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Processed function sub
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Generating return summary for add
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Return summary generated for add
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Processed function add
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Generating return summary for sub
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Return summary generated for sub
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Processed function sub
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Generating return summary for div
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Return summary generated for div
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Processed function div
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Generating return summary for mod
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Return summary generated for mod
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Processed function mod
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Generating return summary for fromScaledUint
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Return summary generated for fromScaledUint
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Processed function fromScaledUint
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Generating return summary for toScaledUint
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Return summary generated for toScaledUint
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Processed function toScaledUint
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Value Range Analysis took 0.008312 seconds
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Value Range Analysis finished
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Storage dependency graph compostion started!
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Storage dependency graph compostion finished!
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Dependency detection started!
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Dependency detection finished!
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Static Analysis took 1.241976 seconds
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Dependency does not exist
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Symbolic execution is not needed!
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Analysis finished!
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Analysis took 1.242125 seconds
[INFO] | 2023-07-06 05:57:37 AM | analyzer.FixedPointInt256_3 | Analysis finished at: 2023-07-06 05:57:37 AM
