[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Return summary generated for balanceOf
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Processed function balanceOf
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Generating return summary for transfer
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Return summary generated for transfer
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Processed function transfer
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Generating return summary for allowance
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Return summary generated for allowance
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Processed function allowance
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Generating return summary for transferFrom
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Return summary generated for transferFrom
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Processed function transferFrom
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Generating return summary for approve
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Return summary generated for approve
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Processed function approve
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Generating return summary for totalSupply
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Return summary generated for totalSupply
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Processed function totalSupply
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Generating return summary for balanceOf
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Return summary generated for balanceOf
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Processed function balanceOf
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Generating return summary for transfer
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Return summary generated for transfer
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Processed function transfer
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Generating return summary for totalSupply
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Return summary generated for totalSupply
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Processed function totalSupply
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Generating return summary for balanceOf
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Return summary generated for balanceOf
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Processed function balanceOf
[INFO] | 2023-07-06 05:57:28 AM | analyzer.FinToken_4 | Generating return summary for allowance
