[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Return summary generated for onlyOwner
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Processed function onlyOwner
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Generating return summary for constructor
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Return summary generated for constructor
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Range graph generated
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Processed function constructor
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Generating return summary for constructor
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Return summary generated for constructor
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Range graph generated
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Processed function constructor
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Generating return summary for _submitProposal
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Return summary generated for _submitProposal
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Range graph generated
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Processed function _submitProposal
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Generating return summary for max
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Return summary generated for max
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Processed function max
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Generating return summary for getProposalQueueLength
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Return summary generated for getProposalQueueLength
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Processed function getProposalQueueLength
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Generating return summary for getProposalFlags
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Return summary generated for getProposalFlags
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Processed function getProposalFlags
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Generating return summary for canRagequit
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Return summary generated for canRagequit
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Processed function canRagequit
[INFO] | 2023-07-06 06:35:35 AM | analyzer.Moloch_4 | Generating return summary for getMemberProposalVote
