[INFO] | 2023-07-06 06:20:38 AM | analyzer.GolemNetworkToken_1 | Range graph generated
[INFO] | 2023-07-06 06:20:38 AM | analyzer.GolemNetworkToken_1 | Processed function slitherConstructorVariables
[INFO] | 2023-07-06 06:20:38 AM | analyzer.GolemNetworkToken_1 | Generating return summary for migrate
[INFO] | 2023-07-06 06:20:38 AM | analyzer.GolemNetworkToken_1 | Return summary generated for migrate
[INFO] | 2023-07-06 06:20:38 AM | analyzer.GolemNetworkToken_1 | Range graph generated
[INFO] | 2023-07-06 06:20:38 AM | analyzer.GolemNetworkToken_1 | Processed function migrate
[INFO] | 2023-07-06 06:20:38 AM | analyzer.GolemNetworkToken_1 | Value Range Analysis took 0.005817 seconds
[INFO] | 2023-07-06 06:20:38 AM | analyzer.GolemNetworkToken_1 | Value Range Analysis finished
[INFO] | 2023-07-06 06:20:38 AM | analyzer.GolemNetworkToken_1 | Storage dependency graph compostion started!
[INFO] | 2023-07-06 06:20:38 AM | analyzer.GolemNetworkToken_1 | Storage dependency graph compostion finished!
[INFO] | 2023-07-06 06:20:38 AM | analyzer.GolemNetworkToken_1 | Dependency detection started!
[INFO] | 2023-07-06 06:20:38 AM | analyzer.GolemNetworkToken_1 | Dependency detection finished!
[INFO] | 2023-07-06 06:20:38 AM | analyzer.GolemNetworkToken_1 | Static Analysis took 0.924250 seconds
[INFO] | 2023-07-06 06:20:38 AM | analyzer.GolemNetworkToken_1 | Dependency does not exist
[INFO] | 2023-07-06 06:20:38 AM | analyzer.GolemNetworkToken_1 | Symbolic execution is not needed!
[INFO] | 2023-07-06 06:20:38 AM | analyzer.GolemNetworkToken_1 | Analysis finished!
[INFO] | 2023-07-06 06:20:38 AM | analyzer.GolemNetworkToken_1 | Analysis took 0.924399 seconds
[INFO] | 2023-07-06 06:20:38 AM | analyzer.GolemNetworkToken_1 | Analysis finished at: 2023-07-06 06:20:38 AM
