[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Processed function div
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Generating return summary for mod
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Return summary generated for mod
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Processed function mod
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Generating return summary for deposit
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Return summary generated for deposit
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Processed function deposit
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Generating return summary for withdraw
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Return summary generated for withdraw
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Processed function withdraw
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Generating return summary for claimRewards
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Return summary generated for claimRewards
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Processed function claimRewards
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Generating return summary for totalValue
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Return summary generated for totalValue
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Processed function totalValue
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Generating return summary for incomeIndex
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | Return summary generated for incomeIndex
[INFO] | 2023-07-06 05:55:53 AM | analyzer.EMAOracle_1 | State variable assignement do not exist
