[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Generating return summary for hash
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Return summary generated for hash
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | State variable assignement do not exist
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Processed function hash
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Generating return summary for _setClaimed
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Return summary generated for _setClaimed
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Range graph generated
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Processed function _setClaimed
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Generating return summary for _hashLeaf
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Return summary generated for _hashLeaf
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | State variable assignement do not exist
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Processed function _hashLeaf
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Generating return summary for transferUnclaimed
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Return summary generated for transferUnclaimed
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | State variable assignement do not exist
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Processed function transferUnclaimed
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Generating return summary for recover
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Return summary generated for recover
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | State variable assignement do not exist
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Processed function recover
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Generating return summary for _delegateTokens
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Return summary generated for _delegateTokens
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | State variable assignement do not exist
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Processed function _delegateTokens
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Generating return summary for getDigest
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Return summary generated for getDigest
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | State variable assignement do not exist
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Processed function getDigest
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Generating return summary for constructor
[INFO] | 2023-07-06 07:24:07 AM | analyzer.TokenDistributor_2 | Return summary generated for constructor
