[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for allowance
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for allowance
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Processed function allowance
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for transfer
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for transfer
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Processed function transfer
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for transferFrom
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for transferFrom
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Processed function transferFrom
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for approve
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for approve
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Processed function approve
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for totalSupply
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for totalSupply
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Processed function totalSupply
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for balanceOf
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for balanceOf
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Processed function balanceOf
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for allowance
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for allowance
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Processed function allowance
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for transfer
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for transfer
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Processed function transfer
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for transferFrom
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for transferFrom
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Processed function transferFrom
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for approve
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for approve
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Processed function approve
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for totalSupply
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for totalSupply
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Processed function totalSupply
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for mint
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for mint
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Processed function mint
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for burn
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for burn
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Processed function burn
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for wrap
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for wrap
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Processed function wrap
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for unwrap
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for unwrap
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Processed function unwrap
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for changeByMultiple
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for changeByMultiple
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Processed function changeByMultiple
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for reverseByMultiple
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for reverseByMultiple
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Processed function reverseByMultiple
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for getSrcERC20
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for getSrcERC20
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Processed function getSrcERC20
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for constructor
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for constructor
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Range graph generated
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Processed function constructor
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for acceptOwnership
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for acceptOwnership
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Range graph generated
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Processed function acceptOwnership
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for isOwner
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for isOwner
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Processed function isOwner
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for add
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for add
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Processed function add
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for sub
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for sub
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Processed function sub
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for mul
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for mul
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Processed function mul
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for div
[WARNING] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | No lvalue eligible assignment, is this some bug!
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for div
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Processed function div
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Generating return summary for min
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | Return summary generated for min
[INFO] | 2023-07-06 05:55:20 AM | analyzer.DFStore_1 | State variable assignement do not exist
