[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Processed function add
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Generating return summary for sub
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Return summary generated for sub
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Processed function sub
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Generating return summary for mul
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Return summary generated for mul
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Processed function mul
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Generating return summary for div
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Return summary generated for div
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Processed function div
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Generating return summary for min
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Return summary generated for min
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Processed function min
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Generating return summary for max
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Return summary generated for max
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Processed function max
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Generating return summary for toInt256
[INFO] | 2023-07-06 05:52:41 AM | analyzer.Brokerage_1 | Return summary generated for toInt256
