[INFO] | 2023-07-06 07:22:46 AM | analyzer.StandardBounties_1 | Analysis started at: 2023-07-06 07:22:46 AM
[INFO] | 2023-07-06 07:22:48 AM | analyzer.StandardBounties_1 | Version constraints: ['0.5.0', '0.5.0']
[INFO] | 2023-07-06 07:22:48 AM | analyzer.StandardBounties_1 | solc version: v0.5.0
[INFO] | 2023-07-06 07:22:51 AM | analyzer.StandardBounties_1 | Callgraph generation started!
[INFO] | 2023-07-06 07:22:51 AM | analyzer.StandardBounties_1 | Callgraph generation finished!
[INFO] | 2023-07-06 07:22:51 AM | analyzer.StandardBounties_1 | Interprocedural CFG generation started!
[INFO] | 2023-07-06 07:22:51 AM | analyzer.StandardBounties_1 | Interprocedural CFG generation finished!
[INFO] | 2023-07-06 07:22:51 AM | analyzer.StandardBounties_1 | Storage dependency graph generation started!
[INFO] | 2023-07-06 07:22:52 AM | analyzer.StandardBounties_1 | Storage dependency graph generation finished!
[INFO] | 2023-07-06 07:22:52 AM | analyzer.StandardBounties_1 | Value Range Analysis started
[INFO] | 2023-07-06 07:22:52 AM | analyzer.StandardBounties_1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 07:22:52 AM | analyzer.StandardBounties_1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 07:22:52 AM | analyzer.StandardBounties_1 | Range graph generated
[INFO] | 2023-07-06 07:22:52 AM | analyzer.StandardBounties_1 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 07:22:52 AM | analyzer.StandardBounties_1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 07:22:52 AM | analyzer.StandardBounties_1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 07:22:52 AM | analyzer.StandardBounties_1 | Range graph generated
[INFO] | 2023-07-06 07:22:52 AM | analyzer.StandardBounties_1 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 07:22:52 AM | analyzer.StandardBounties_1 | Generating return summary for slitherConstructorConstantVariables
