[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for owner
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function owner
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for _transferOwnership
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for _transferOwnership
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Range graph generated
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function _transferOwnership
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for onlyOwner
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for onlyOwner
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function onlyOwner
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for totalSupply
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for totalSupply
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function totalSupply
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for balanceOf
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for balanceOf
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function balanceOf
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for transfer
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for transfer
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function transfer
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for allowance
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for allowance
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function allowance
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for approve
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for approve
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function approve
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for transferFrom
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for transferFrom
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function transferFrom
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for constructor
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for constructor
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function constructor
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for _msgSender
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for _msgSender
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function _msgSender
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for _msgData
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for _msgData
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function _msgData
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for totalSupply
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for totalSupply
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function totalSupply
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for balanceOf
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for balanceOf
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function balanceOf
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for allowance
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for allowance
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function allowance
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for _approve
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for _approve
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Range graph generated
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function _approve
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for sub
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for sub
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function sub
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for add
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for add
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function add
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for totalSupply
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for totalSupply
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function totalSupply
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for balanceOf
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for balanceOf
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function balanceOf
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for transfer
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for transfer
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function transfer
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for allowance
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for allowance
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function allowance
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for approve
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for approve
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function approve
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for transferFrom
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for transferFrom
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function transferFrom
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for constructor
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for constructor
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Range graph generated
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function constructor
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for name
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for name
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function name
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for symbol
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for symbol
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function symbol
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for decimals
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for decimals
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function decimals
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for mul
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for mul
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function mul
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for div
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for div
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function div
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for mod
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for mod
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function mod
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for isContract
[WARNING] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Can there be this kind of variables
[WARNING] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Can there be this kind of variables
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for isContract
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function isContract
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for toPayable
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for toPayable
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function toPayable
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for sendValue
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for sendValue
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function sendValue
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for deposit
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for deposit
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function deposit
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for withdraw
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for withdraw
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function withdraw
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for withdraw
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for withdraw
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Processed function withdraw
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Generating return summary for balanceOf
[INFO] | 2023-07-06 05:52:47 AM | analyzer.bVault_1 | Return summary generated for balanceOf
