[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | Processed function executeCreate
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | Generating return summary for getModules
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | Return summary generated for getModules
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | Processed function getModules
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | Generating return summary for authorized
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | Return summary generated for authorized
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | Processed function authorized
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | Generating return summary for setupOwners
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | Return summary generated for setupOwners
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | Range graph generated
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | Processed function setupOwners
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | Generating return summary for getThreshold
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | Return summary generated for getThreshold
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | Processed function getThreshold
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | Generating return summary for isOwner
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | Return summary generated for isOwner
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | Processed function isOwner
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | Generating return summary for getOwners
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | Return summary generated for getOwners
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | Processed function getOwners
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | Generating return summary for authorized
[INFO] | 2023-07-06 06:20:27 AM | analyzer.GnosisSafe_1 | Return summary generated for authorized
