[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Return summary generated for requiredSignatures
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Processed function requiredSignatures
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Generating return summary for validatorCount
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Return summary generated for validatorCount
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Processed function validatorCount
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Generating return summary for validators
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Return summary generated for validators
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Processed function validators
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Generating return summary for isInitialized
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Return summary generated for isInitialized
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Processed function isInitialized
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Generating return summary for setValidatorCount
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Return summary generated for setValidatorCount
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Range graph generated
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Processed function setValidatorCount
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Generating return summary for setValidator
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Return summary generated for setValidator
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Range graph generated
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Processed function setValidator
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Generating return summary for setInitialize
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Return summary generated for setInitialize
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Range graph generated
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Processed function setInitialize
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Generating return summary for onlyOwner
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Return summary generated for onlyOwner
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Processed function onlyOwner
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Generating return summary for setOwner
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Return summary generated for setOwner
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Range graph generated
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Processed function setOwner
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Generating return summary for setOwner
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Return summary generated for setOwner
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Range graph generated
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Processed function setOwner
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Generating return summary for setRequiredSignatures
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Return summary generated for setRequiredSignatures
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Range graph generated
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Processed function setRequiredSignatures
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Generating return summary for isValidator
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Return summary generated for isValidator
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Processed function isValidator
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Generating return summary for transferOwnership
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Return summary generated for transferOwnership
[INFO] | 2023-07-06 05:52:38 AM | analyzer.BridgeValidators_1 | Range graph generated
