[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function setAccountType
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for getAccountType
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for getAccountType
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function getAccountType
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for setFeeType
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for setFeeType
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function setFeeType
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for getFeeMake
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for getFeeMake
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function getFeeMake
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for getFeeTake
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for getFeeTake
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function getFeeTake
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for changeFeeAccount
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for changeFeeAccount
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function changeFeeAccount
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for setWhitelistTokens
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for setWhitelistTokens
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function setWhitelistTokens
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for setWhitelistTokens
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for setWhitelistTokens
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function setWhitelistTokens
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for depositToken
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for depositToken
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function depositToken
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for tokenFallback
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for tokenFallback
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function tokenFallback
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for withdraw
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for withdraw
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function withdraw
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for withdrawToken
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for withdrawToken
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function withdrawToken
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for balanceOf
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for balanceOf
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function balanceOf
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for order
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for order
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function order
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for trade
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for trade
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function trade
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for cancelOrder
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for cancelOrder
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function cancelOrder
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for testTrade
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for testTrade
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function testTrade
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for availableVolume
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Return summary generated for availableVolume
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Processed function availableVolume
[INFO] | 2023-07-07 08:59:51 AM | analyzer.0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1 | Generating return summary for amountFilled
