[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | State variable assignement do not exist
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Processed function MinimumBackersClaimed
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Generating return summary for backerCheck
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Return summary generated for backerCheck
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | State variable assignement do not exist
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Processed function backerCheck
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Generating return summary for setPrepaid
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Return summary generated for setPrepaid
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Range graph generated
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Processed function setPrepaid
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Generating return summary for withdraw
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Return summary generated for withdraw
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Range graph generated
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Processed function withdraw
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Generating return summary for claimPrepaid
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Return summary generated for claimPrepaid
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Range graph generated
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Processed function claimPrepaid
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Generating return summary for claim
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Return summary generated for claim
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Range graph generated
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Processed function claim
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Generating return summary for approveWithdraw
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Return summary generated for approveWithdraw
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Range graph generated
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Processed function approveWithdraw
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Value Range Analysis took 0.012785 seconds
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Value Range Analysis finished
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Storage dependency graph compostion started!
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Storage dependency graph compostion finished!
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Dependency detection started!
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Dependency detection finished!
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Static Analysis took 1.491997 seconds
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Dependency does not exist
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Symbolic execution is not needed!
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Analysis finished!
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Analysis took 1.492165 seconds
[INFO] | 2023-07-06 06:49:53 AM | analyzer.PromissoryToken_4 | Analysis finished at: 2023-07-06 06:49:53 AM
