[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Generating return summary for load
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Return summary generated for load
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Processed function load
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Generating return summary for updateLicenceAmount
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Return summary generated for updateLicenceAmount
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Processed function updateLicenceAmount
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Generating return summary for constructor
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Return summary generated for constructor
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Range graph generated
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Processed function constructor
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Generating return summary for isTransferable
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Return summary generated for isTransferable
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Processed function isTransferable
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Generating return summary for owner
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Return summary generated for owner
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Processed function owner
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Generating return summary for _isOwner
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Return summary generated for _isOwner
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Processed function _isOwner
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Generating return summary for fallback
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Return summary generated for fallback
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Processed function fallback
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Generating return summary for licenceAmountScaled
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Return summary generated for licenceAmountScaled
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Processed function licenceAmountScaled
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Generating return summary for cryptoFloat
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Return summary generated for cryptoFloat
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Processed function cryptoFloat
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Generating return summary for tokenHolder
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Return summary generated for tokenHolder
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Processed function tokenHolder
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Generating return summary for licenceDAO
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Return summary generated for licenceDAO
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Processed function licenceDAO
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Generating return summary for tknContractAddress
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Return summary generated for tknContractAddress
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Processed function tknContractAddress
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Generating return summary for floatLocked
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Return summary generated for floatLocked
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Processed function floatLocked
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Generating return summary for holderLocked
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Return summary generated for holderLocked
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Processed function holderLocked
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Generating return summary for licenceDAOLocked
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Return summary generated for licenceDAOLocked
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Processed function licenceDAOLocked
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Generating return summary for tknContractAddressLocked
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Return summary generated for tknContractAddressLocked
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Processed function tknContractAddressLocked
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Range graph generated
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Processed function slitherConstructorVariables
[INFO] | 2023-07-06 06:24:03 AM | analyzer.licence_1 | Generating return summary for onlyOwner
