[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Return summary generated for isValidatorBanned
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | State variable assignement do not exist
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Processed function isValidatorBanned
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Generating return summary for MAX_VALIDATORS
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Return summary generated for MAX_VALIDATORS
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | State variable assignement do not exist
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Processed function MAX_VALIDATORS
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Generating return summary for miningByStakingAddress
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Return summary generated for miningByStakingAddress
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | State variable assignement do not exist
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Processed function miningByStakingAddress
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Generating return summary for randomContract
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Return summary generated for randomContract
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | State variable assignement do not exist
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Processed function randomContract
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Generating return summary for stakingByMiningAddress
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Return summary generated for stakingByMiningAddress
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | State variable assignement do not exist
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Processed function stakingByMiningAddress
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Generating return summary for stakingContract
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Return summary generated for stakingContract
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | State variable assignement do not exist
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Processed function stakingContract
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Generating return summary for unremovableValidator
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Return summary generated for unremovableValidator
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | State variable assignement do not exist
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Processed function unremovableValidator
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Generating return summary for validatorIndex
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Return summary generated for validatorIndex
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | State variable assignement do not exist
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Processed function validatorIndex
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Generating return summary for validatorSetApplyBlock
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Return summary generated for validatorSetApplyBlock
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | State variable assignement do not exist
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Processed function validatorSetApplyBlock
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Generating return summary for mul
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Return summary generated for mul
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | State variable assignement do not exist
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Processed function mul
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Generating return summary for div
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Return summary generated for div
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | State variable assignement do not exist
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Processed function div
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Generating return summary for sub
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Return summary generated for sub
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | State variable assignement do not exist
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Processed function sub
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Generating return summary for add
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Return summary generated for add
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | State variable assignement do not exist
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Processed function add
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Generating return summary for getCurrentSeed
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Return summary generated for getCurrentSeed
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | State variable assignement do not exist
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Processed function getCurrentSeed
[INFO] | 2023-07-06 06:50:06 AM | analyzer.RandomBase_2 | Generating return summary for isInitialized
