[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | Return summary generated for transfer
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | State variable assignement do not exist
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | Processed function transfer
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | Generating return summary for transferFrom
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | Return summary generated for transferFrom
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | State variable assignement do not exist
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | Processed function transferFrom
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | Generating return summary for approve
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | Return summary generated for approve
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | State variable assignement do not exist
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | Processed function approve
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | Generating return summary for supply
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | Return summary generated for supply
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | State variable assignement do not exist
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | Processed function supply
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | Generating return summary for withdraw
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | Return summary generated for withdraw
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | State variable assignement do not exist
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | Processed function withdraw
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | Generating return summary for getSupplyBalance
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | Return summary generated for getSupplyBalance
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | State variable assignement do not exist
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | Processed function getSupplyBalance
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | Generating return summary for join
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | Return summary generated for join
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | State variable assignement do not exist
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | Processed function join
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | Generating return summary for exit
[INFO] | 2023-07-06 07:47:59 AM | analyzer.XSwap_1 | Return summary generated for exit
