[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Processed function sender
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Generating return summary for setFreeMem
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Return summary generated for setFreeMem
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Processed function setFreeMem
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Generating return summary for expected
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Return summary generated for expected
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Processed function expected
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Generating return summary for conditions
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Return summary generated for conditions
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Processed function conditions
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Generating return summary for read
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Return summary generated for read
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Processed function read
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Generating return summary for readMulti
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Return summary generated for readMulti
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Processed function readMulti
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Generating return summary for toBytes4Arr
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Return summary generated for toBytes4Arr
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Processed function toBytes4Arr
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Generating return summary for toAddressArr
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Return summary generated for toAddressArr
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Processed function toAddressArr
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Generating return summary for toUintArr
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Return summary generated for toUintArr
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Processed function toUintArr
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Generating return summary for execPermissions
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Return summary generated for execPermissions
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Processed function execPermissions
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Generating return summary for admin
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Return summary generated for admin
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Processed function admin
[INFO] | 2023-07-06 05:55:30 AM | analyzer.DutchCrowdsaleIdx_1 | Generating return summary for isConfigured
