[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Processed function onlyWallet
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Generating return summary for ownerExists
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Return summary generated for ownerExists
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Processed function ownerExists
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Generating return summary for notConfirmed
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Return summary generated for notConfirmed
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Processed function notConfirmed
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Generating return summary for transactionExists
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Return summary generated for transactionExists
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Processed function transactionExists
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Generating return summary for confirmed
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Return summary generated for confirmed
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Processed function confirmed
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Generating return summary for notExecuted
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Return summary generated for notExecuted
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Processed function notExecuted
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Generating return summary for executeTransaction
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Return summary generated for executeTransaction
