00m: 0 Edges, 0 Instrs
01m: 382 Edges, 5856 Instrs
02m: 384 Edges, 5898 Instrs
03m: 384 Edges, 5898 Instrs
04m: 386 Edges, 5999 Instrs
05m: 390 Edges, 6217 Instrs
06m: 390 Edges, 6217 Instrs
07m: 391 Edges, 6224 Instrs
08m: 392 Edges, 6231 Instrs
09m: 392 Edges, 6231 Instrs
10m: 392 Edges, 6231 Instrs
11m: 395 Edges, 6241 Instrs
12m: 396 Edges, 6244 Instrs
