[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Return summary generated for onlyHero
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Processed function onlyHero
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Generating return summary for constructor
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Return summary generated for constructor
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Range graph generated
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Processed function constructor
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Generating return summary for constructor
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Return summary generated for constructor
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Range graph generated
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Processed function constructor
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Generating return summary for insertBeneficiaries
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Return summary generated for insertBeneficiaries
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Range graph generated
[INFO] | 2023-07-07 08:59:03 AM | analyzer.0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e | Processed function insertBeneficiaries
