[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for allowance
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for allowance
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | State variable assignement do not exist
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function allowance
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for transfer
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for transfer
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Range graph generated
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function transfer
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for transferFrom
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for transferFrom
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Range graph generated
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function transferFrom
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for balanceOf
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for balanceOf
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | State variable assignement do not exist
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function balanceOf
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for approve
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for approve
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Range graph generated
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function approve
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for allowance
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for allowance
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | State variable assignement do not exist
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function allowance
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for mul
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for mul
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | State variable assignement do not exist
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function mul
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for div
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for div
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | State variable assignement do not exist
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function div
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for sub
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for sub
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | State variable assignement do not exist
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function sub
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for add
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for add
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | State variable assignement do not exist
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function add
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for isContract
[WARNING] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Can there be this kind of variables
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for isContract
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | State variable assignement do not exist
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function isContract
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for supportsInterface
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for supportsInterface
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | State variable assignement do not exist
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function supportsInterface
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for supportsInterface
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for supportsInterface
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | State variable assignement do not exist
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function supportsInterface
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for supportsInterface
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for supportsInterface
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | State variable assignement do not exist
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Processed function supportsInterface
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Generating return summary for _registerInterface
[INFO] | 2023-07-06 07:23:05 AM | analyzer.StandardBounties_3 | Return summary generated for _registerInterface
