[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Processed function payFee
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Generating return summary for lockBBK
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Return summary generated for lockBBK
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Processed function lockBBK
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Generating return summary for unlockBBK
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Return summary generated for unlockBBK
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Processed function unlockBBK
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Generating return summary for transfer
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Return summary generated for transfer
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Processed function transfer
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Generating return summary for distribute
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Return summary generated for distribute
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Processed function distribute
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Generating return summary for burn
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Return summary generated for burn
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Processed function burn
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Generating return summary for constructor
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Return summary generated for constructor
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Range graph generated
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Processed function constructor
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Generating return summary for _transferOwnership
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Return summary generated for _transferOwnership
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Range graph generated
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Processed function _transferOwnership
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Generating return summary for constructor
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Return summary generated for constructor
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Range graph generated
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Processed function constructor
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Generating return summary for fallback
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Return summary generated for fallback
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Processed function fallback
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Generating return summary for onlyOwner
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Return summary generated for onlyOwner
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Processed function onlyOwner
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Generating return summary for transferOwnership
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Return summary generated for transferOwnership
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Range graph generated
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Processed function transferOwnership
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Generating return summary for renounceOwnership
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Return summary generated for renounceOwnership
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Range graph generated
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Processed function renounceOwnership
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Generating return summary for pullFunds
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Return summary generated for pullFunds
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Processed function pullFunds
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Generating return summary for lockBBK
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Return summary generated for lockBBK
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Processed function lockBBK
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Generating return summary for unlockBBK
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Return summary generated for unlockBBK
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Processed function unlockBBK
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Generating return summary for claimFee
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Return summary generated for claimFee
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Processed function claimFee
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Generating return summary for withdrawActFunds
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Return summary generated for withdrawActFunds
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Processed function withdrawActFunds
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Generating return summary for withdrawBbkFunds
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Return summary generated for withdrawBbkFunds
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Processed function withdrawBbkFunds
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Generating return summary for transferOwnership
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Return summary generated for transferOwnership
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Range graph generated
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Processed function transferOwnership
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Generating return summary for renounceOwnership
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Return summary generated for renounceOwnership
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Range graph generated
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Processed function renounceOwnership
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Generating return summary for withdrawEthFunds
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Return summary generated for withdrawEthFunds
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Processed function withdrawEthFunds
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Value Range Analysis took 0.006662 seconds
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Value Range Analysis finished
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Storage dependency graph compostion started!
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Storage dependency graph compostion finished!
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Dependency detection started!
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Dependency detection finished!
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Static Analysis took 0.654280 seconds
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Dependency does not exist
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Symbolic execution is not needed!
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Analysis finished!
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Analysis took 0.654431 seconds
[INFO] | 2023-07-06 05:52:36 AM | analyzer.BrickblockAccount_1 | Analysis finished at: 2023-07-06 05:52:36 AM
