[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | Generating return summary for getContractAddress
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | Return summary generated for getContractAddress
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | Processed function getContractAddress
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | Generating return summary for queryTypes
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | Return summary generated for queryTypes
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | Processed function queryTypes
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | Generating return summary for ratesActive
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | Return summary generated for ratesActive
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | Processed function ratesActive
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | Generating return summary for getRate
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | Return summary generated for getRate
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | Processed function getRate
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | Generating return summary for setRate
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | Return summary generated for setRate
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | Processed function setRate
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | Generating return summary for setQueryId
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | Return summary generated for setQueryId
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | Processed function setQueryId
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | Generating return summary for getCurrencySettings
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | Return summary generated for getCurrencySettings
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | Processed function getCurrencySettings
[INFO] | 2023-07-06 05:57:17 AM | analyzer.ExchangeRateProvider_1 | Generating return summary for __callback
